iata_code,name
EWR,Newark Liberty International Airport
EYW,Key West International Airport
WIB,Wilbarger County Airport
RBK,French Valley Airport
FAF,Felker Army Air Field
FAM,Farmington Regional Airport
FAR,Hector International Airport
FAT,Fresno Yosemite International Airport
FAY,Fayetteville Regional Airport - Grannis Field
FBG,Simmons Army Air Field
FBL,Faribault Municipal Airport-Liz Wall Strohfus Field
FBR,Fort Bridger Airport
FBY,Fairbury Municipal Airport
FCH,Fresno Chandler Executive Airport
FCM,Flying Cloud Airport
FCS,Butts AAF (Fort Carson) Air Field
FCY,Forrest City Municipal Airport
FDK,Frederick Municipal Airport
FDR,Frederick Regional Airport
FDY,Findlay Airport
FEP,Albertus Airport
FET,Fremont Municipal Airport
FFA,First Flight Airport
FFL,Fairfield Municipal Airport
FFM,Fergus Falls Municipal Airport - Einar Mickelson Field
FFO,Wright-Patterson Air Force Base
FFT,Capital City Airport
MSC,Falcon Field
FRD,Friday Harbor Airport
FHU,Sierra Vista Municipal Airport / Libby Army Air Field
FKL,Venango Regional Airport
FKN,Franklin Regional Airport
FLD,Fond du Lac County Airport
FLG,Flagstaff Pulliam International Airport
FLL,Fort Lauderdale Hollywood International Airport
FLO,Florence Regional Airport
FLP,Marion County Regional Airport
FLU,Flushing Airport
FLV,Sherman Army Air Field
FLX,Fallon Municipal Airport
FME,Tipton Airport
FMH,Cape Cod Coast Guard Air Station
FMN,Four Corners Regional Airport
FMY,Page Field
FNL,Northern Colorado Regional Airport
FNT,Bishop International Airport
FOD,Fort Dodge Regional Airport
FOE,Topeka Regional Airport
FOK,Francis S Gabreski Airport
FIL,Fillmore Municipal Airport
FPR,St Lucie County International Airport
FRG,Republic Airport
FRH,French Lick Municipal Airport
FRI,Marshall Army Air Field
FRM,Fairmont Municipal Airport
FRR,Front Royal Warren County Airport
FSD,Sioux Falls Regional Airport / Joe Foss Field
FSI,Henry Post Army Air Field (Fort Sill)
FSK,Fort Scott Municipal Airport
FSM,Fort Smith Regional Airport
FST,Fort Stockton Pecos County Airport
FSU,Fort Sumner Municipal Airport
FMS,Fort Madison Municipal Airport
FTK,Godman Army Air Field
FTW,Fort Worth Meacham International Airport
FTY,Fulton County Airport Brown Field
FUL,Fullerton Municipal Airport
WFK,Northern Aroostook Regional Airport
FWA,Fort Wayne International Airport
FXE,Fort Lauderdale Executive Airport
FXY,Forest City Municipal Airport
FYM,Fayetteville Municipal Airport
FYV,Drake Field
GAD,Northeast Alabama Regional Airport
GAG,Gage Airport
GAI,Montgomery County Airpark
GBD,Great Bend Municipal Airport
GBG,Galesburg Municipal Airport
GBR,Walter J. Koladza Airport
GCC,Gillette Campbell County Airport
JDA,Grant Co Regional/Ogilvie Field
GCK,Garden City Regional Airport
GCN,Grand Canyon National Park Airport
GCY,Greeneville Municipal Airport
GDM,Gardner Municipal Airport
GDV,Dawson Community Airport
GDW,Gladwin Zettel Memorial Airport
GED,Sussex County Airport
GEG,Spokane International Airport
GEY,South Big Horn County Airport
GFA,Malmstrom Air Force Base
GFK,Grand Forks International Airport
GFL,Floyd Bennett Memorial Airport
GGE,Georgetown County Airport
GGG,East Texas Regional Airport
GGW,Wokal Field/Glasgow-Valley County Airport
GHM,Centerville Municipal Airport
GIF,Winter Haven Regional Airport - Gilbert Field
GJT,Grand Junction Regional Airport
MEJ,Port Meadville Airport
GKT,Gatlinburg-Pigeon Forge Airport
GLD,Renner Field-Goodland Municipal Airport
GLE,Gainesville Municipal Airport
GLH,Mid Delta Regional Airport
GLR,Gaylord Regional Airport
GLS,Scholes International At Galveston Airport
GLW,Glasgow Municipal Airport
GMU,Greenville Downtown Airport
GNG,Gooding Municipal Airport
GNT,Grants-Milan Municipal Airport
GNV,Gainesville Regional Airport
GOK,Guthrie-Edmond Regional Airport
GON,Groton New London Airport
FCA,Glacier Park International Airport
GPT,Gulfport Biloxi International Airport
GPZ,Grand Rapids Itasca Co-Gordon Newstrom field
GQQ,Galion Municipal Airport
GRB,Austin Straubel International Airport
GRD,Greenwood County Airport
GRE,Greenville Airport
GRF,Gray Army Air Field
GRI,Central Nebraska Regional Airport
GRK,Killeen-Fort Hood Regional Airport / Robert Gray Army Air Field
GRN,Gordon Municipal Airport
GRR,Gerald R. Ford International Airport
GSB,Seymour Johnson Air Force Base
GSH,Goshen Municipal Airport
GSO,Piedmont Triad International Airport
GSP,Greenville Spartanburg International Airport
GSW,Greater Southwest International Airport-Amon Carter Field
GTF,Great Falls International Airport
GTG,Grantsburg Municipal Airport
GTR,Golden Triangle Regional Airport
GUC,Gunnison Crested Butte Regional Airport
GUP,Gallup Municipal Airport
GUS,Grissom Air Reserve Base
GUY,Guymon Municipal Airport
GVL,Lee Gilmer Memorial Airport
GVT,Majors Airport
GVW,Richards-Gebaur Air Force Base
GWO,Greenwood–Leflore Airport
GWS,Glenwood Springs Municipal Airport
KGX,Grayling Airport
GXY,Greeley–Weld County Airport
GDC,Donaldson Field Airport
PNX,North Texas Regional Airport/Perrin Field
GYR,Phoenix Goodyear Airport
GYY,Gary Chicago International Airport
KGZ,Glacier Creek Airport
HAB,Marion County Rankin Fite Airport
HAF,Half Moon Bay Airport
HAI,Three Rivers Municipal Dr Haines Airport
HAO,Butler Co Regional Airport - Hogan Field
HAX,Hatbox Field
HBG,Hattiesburg Bobby L Chain Municipal Airport
HBR,Hobart Regional Airport
HCA,Howard County Municipal Airport
HDE,Brewster Field
HDN,Yampa Valley Airport
HEE,Thompson-Robbins Airport
MNZ,Manassas Regional Airport/Harry P. Davis Field
HEZ,Hardy-Anders Field / Natchez-Adams County Airport
HFD,Hartford Brainard Airport
HFF,Mackall Army Air Field
HGR,Hagerstown Regional Richard A Henson Field
HHR,Jack Northrop Field Hawthorne Municipal Airport
HUJ,Stan Stamper Municipal Airport
HIB,Range Regional Airport
HIE,Mount Washington Regional Airport
HIF,Hill Air Force Base
HII,Lake Havasu City International Airport
HIO,Portland Hillsboro Airport
HKA,Blytheville Municipal Airport
HKS,Hawkins Field
