iata_code,name
VOK,Volk Field
VPS,Destin-Fort Walton Beach Airport
VPZ,Porter County Municipal Airport
VQQ,Cecil Airport
VRB,Vero Beach Regional Airport
VSF,Hartness State (Springfield) Airport
VTN,Miller Field
VYS,Illinois Valley Regional Airport-Walter A Duncan Field
GTY,Gettysburg Regional Airport
SQV,Sequim Valley Airport
PGC,Grant County Airport
WAL,Wallops Flight Facility Airport
WAY,Greene County Airport
WBW,Wilkes Barre Wyoming Valley Airport
WDG,Enid Woodring Regional Airport
WDR,Barrow County Airport
KWF,Waterfall Seaplane Base
WHP,Whiteman Airport
WJF,General WM J Fox Airfield
WLD,Strother Field
WLW,Willows Glenn County Airport
WMC,Winnemucca Municipal Airport
KWP,West Point Village Seaplane Base
WRB,Robins Air Force Base
WRI,Mc Guire Air Force Base
WRL,Worland Municipal Airport
WSD,Condron Army Air Field
WST,Westerly State Airport
WVI,Watsonville Municipal Airport
WVL,Waterville Robert Lafleur Airport
WWD,Cape May County Airport
WWR,West Woodward Airport
WYS,Yellowstone Airport
KYO,Tampa North Aero Park Airport
KXA,Kasaan Seaplane Base
XNA,Northwest Arkansas Regional Airport
WBK,West Branch Community Airport
YIP,Willow Run Airport
YKM,Yakima Air Terminal McAllister Field
YKN,Chan Gurney Municipal Airport
KYL,Port Largo Airport
YNG,Youngstown Warren Regional Airport
KZB,Zachar Bay Seaplane Base
ZPH,Zephyrhills Municipal Airport
ZZV,Zanesville Municipal Airport
LHS,Lake Havasu City International Airport
LOR,Lowe AHP (Fort Rucker) Heliport
LRO,Sharpe AAF
LTH,Lathrop Wells Airport / Jackass Aeropark
DRU,Drummond Airport
UWA,Ware Airport
LIZ,Loring International Airport
MGI,Matagorda Island Air Force Base
MHN,Hooker County Airport
MOS,Moses Point Airport
MTX,Metro Field
MXC,Monticello Airport
MYK,May Creek Airport
MPE,Griswold Airport
EPG,Browns Airport
HBB,Industrial Airpark
NRC,NASA Crows Landing Airport
UCC,Yucca Airstrip
NLN,Kneeland Airport
BZF,Benton Field
OBK,Sky Harbor Airport
DWN,Downtown Airpark
OLH,Old Harbor Airport
ORI,Port Lions Airport
AKB,Atka Airport
PML,Port Moller Airport
PTD,Port Alexander Seaplane Base
PAQ,"Warren ""Bud"" Woods Palmer Municipal Airport"
ATU,Casco Cove Coast Guard Station
BTI,Barter Island Long Range Radar Station Airport
BET,Bethel Airport
BVU,Beluga Airport
BIG,Allen Army Airfield
BKC,Buckland Airport
BMX,Big Mountain Airport
BRW,Wiley Post Will Rogers Memorial Airport
BTT,Bettles Airport
CDB,Cold Bay Airport
CEM,Central Airport
CIK,Chalkyitsik Airport
CYF,Chefornak Airport
SCM,Scammon Bay Airport
IRC,Circle City /New/ Airport
CDV,Merle K (Mudhole) Smith Airport
CXF,Coldfoot Airport
CYT,Yakataga Airport
CZF,Cape Romanzof LRRS Airport
DRG,Deering Airport
RDB,Red Dog Airport
ADK,Adak Airport
DLG,Dillingham Airport
MLL,Marshall Don Hunter Sr Airport
ADQ,Kodiak Airport
DUT,Tom Madsen (Dutch Harbor) Airport
KKH,Kongiganak Airport
EDF,Elmendorf Air Force Base
EEK,Eek Airport
EAA,Eagle Airport
EHM,Cape Newenham LRRS Airport
EIL,Eielson Air Force Base
ELV,Elfin Cove Seaplane Base
EMK,Emmonak Airport
ENA,Kenai Municipal Airport
WWT,Newtok Airport
FAI,Fairbanks International Airport
FBK,Ladd AAF Airfield
ABL,Ambler Airport
FRN,Bryant Army Heliport
NIB,Nikolai Airport
FWL,Farewell Airport
GAL,Edward G. Pitka Sr Airport
GBH,Galbraith Lake Airport
KWK,Kwigillingok Airport
SHG,Shungnak Airport
GKN,Gulkana Airport
GLV,Golovin Airport
GAM,Gambell Airport
AGN,Angoon Seaplane Base
BGQ,Big Lake Airport
GST,Gustavus Airport
NME,Nightmute Airport
SGY,Skagway Airport
HCR,Holy Cross Airport
HSL,Huslia Airport
HNS,Haines Airport
HOM,Homer Airport
HPB,Hooper Bay Airport
HUS,Hughes Airport
SHX,Shageluk Airport
HYG,Hydaburg Seaplane Base
IGG,Igiugig Airport
EGX,Egegik Airport
IAN,Bob Baker Memorial Airport
ILI,Iliamna Airport
UTO,Indian Mountain LRRS Airport
MCL,McKinley National Park Airport
WAA,Wales Airport
JNU,Juneau International Airport
KGK,Koliganek Airport
KDK,Kodiak Municipal Airport
KFP,False Pass Airport
AKK,Akhiok Airport
KPN,Kipnuk Airport
KKA,Koyuk Alfred Adams Airport
LKK,Kulik Lake Airport
AKN,King Salmon Airport
IKO,Nikolski Air Station
AKP,Anaktuvuk Pass Airport
KTN,Ketchikan International Airport
UUK,Ugnu-Kuparuk Airport
KAL,Kaltag Airport
KLW,Klawock Airport
KYK,Karluk Airport
KLN,Larsen Bay Airport
KLG,Kalskag Airport
DQH,Alpine Airstrip
WCR,Chandalar Lake Airport
LUR,Cape Lisburne LRRS Airport
KMO,Manokotak Airport
MCG,McGrath Airport
MDO,Middleton Island Airport
LMA,Minchumina Airport
SMK,St Michael Airport
MLY,Manley Hot Springs Airport
MTM,Metlakatla Seaplane Base
MOU,Mountain Village Airport
MRI,Merrill Field
MXY,Mc Carthy Airport
MYU,Mekoryuk Airport
WNA,Napakiak Airport
ANC,Ted Stevens Anchorage International Airport
ANI,Aniak Airport
ENN,Nenana Municipal Airport
NNL,Nondalton Airport
FNR,Funter Bay Seaplane Base
ANN,Annette Island Airport
NUL,Nulato Airport
ANV,Anvik Airport
KNW,New Stuyahok Airport
OBU,Kobuk Airport
PCA,Portage Creek Airport
HNH,Hoonah Airport
OME,Nome Airport
OOK,Toksook Bay Airport
ORT,Northway Airport
OTZ,Ralph Wien Memorial Airport
NLG,Nelson Lagoon Airport
STG,St George Airport
KPC,Port Clarence Coast Guard Station
KPV,Perryville Airport
PSG,Petersburg James A Johnson Airport
PTH,Port Heiden Airport
PKA,Napaskiak Airport
PTU,Platinum Airport
PIP,Pilot Point Airport
PHO,Point Hope Airport
PPC,Prospect Creek Airport
KWN,Quinhagak Airport
NUI,Nuiqsut Airport
ARC,Arctic Village Airport
RSH,Russian Mission Airport
RBY,Ruby Airport
SVA,Savoonga Airport
SCC,Deadhorse Airport
SDP,Sand Point Airport
SHH,Shishmaref Airport
SIT,Sitka Rocky Gutierrez Airport
WLK,Selawik Airport
SLQ,Sleetmute Airport
KSM,St Mary's Airport
SNP,St Paul Island Airport
SOV,Seldovia Airport
SMU,Sheep Mountain Airport
UMM,Summit Airport
SVW,Sparrevohn LRRS Airport
SKW,Skwentna Airport
SXQ,Soldotna Airport
SYA,Eareckson Air Station
TAL,Ralph M Calhoun Memorial Airport
TNC,Tin City Long Range Radar Station Airport
TLA,Teller Airport
TOG,Togiak Airport
TKA,Talkeetna Airport
TLJ,Tatalina LRRS Airport
ATK,Atqasuk Edward Burnell Sr Memorial Airport
AUK,Alakanuk Airport
UMT,Umiat Airport
UNK,Unalakleet Airport
WOW,Willow Airport
KQA,Akutan Airport
VAK,Chevak Airport
KVC,King Cove Airport
VDZ,Valdez Pioneer Field
VEE,Venetie Airport
KVL,Kivalina Airport
WBQ,Beaver Airport
SWD,Seward Airport
WRG,Wrangell Airport
AIN,Wainwright Airport
WMO,White Mountain Airport
WTK,Noatak Airport
WWA,Wasilla Airport
YAK,Yakutat Airport
PEC,Pelican Seaplane Base
AKI,Akiak Airport
AET,Allakaket Airport
PFC,Pacific City State Airport
NCN,Chenega Bay Airport
CLP,Clarks Point Airport
ELI,Elim Airport
KUK,Kasigluk Airport
KNK,Kokhanok Airport
KOT,Kotlik Airport
KTS,Brevig Mission Airport
KYU,Koyukuk Airport
KWT,Kwethluk Airport
ORV,Robert (Bob) Curtis Memorial Airport
SKK,Shaktoolik Airport
TKJ,Tok Junction Airport
WSN,South Naknek Number 2 Airport
FYU,Fort Yukon Airport
PGM,Port Graham Airport
BKH,Barking Sands Airport
HDH,Dillingham Airfield
HHI,Wheeler Army Airfield
HNM,Hana Airport
HIK,Hickam Air Force Base
JHM,Kapalua Airport
JRF,Kalaeloa Airport
KOA,Ellison Onizuka Kona International Airport at Keahole
HKP,Kaanapali Airport
LIH,Lihue Airport
LUP,Kalaupapa Airport
MKK,Molokai Airport
MUE,Waimea Kohala Airport
NGF,Kaneohe Bay MCAS (Marion E. Carl Field) Airport
HNL,Daniel K Inouye International Airport
LNY,Lanai Airport
OGG,Kahului Airport
PAK,Port Allen Airport
BSF,Bradshaw Army Airfield
ITO,Hilo International Airport
UPP,Upolu Airport
PIZ,Point Lay LRRS Airport
PWR,Port Walter Seaplane Base
PYL,Perry Island Seaplane Base
RDV,Red Devil Airport
REH,Rehoboth Airport
RMP,Rampart Airport
LPS,Lopez Island Airport
KEH,Kenmore Air Harbor Inc Seaplane Base
SAS,Salton Sea Airport
SFR,San Fernando Airport
SKJ,Sitkinak Airport
SRF,Hamilton Field
SRU,Santa Cruz Sky Park
SRV,Stony River 2 Airport
SSU,Greenbrier Airport
SVS,Stevens Village Airport
SXP,Nunam Iqua Airport
SYB,Seal Bay Seaplane Base
SYL,Roberts Army Heliport
SYN,Stanton Airfield
SZN,Santa Cruz Island Airport
SZP,Santa Paula Airport
TCT,Takotna Airport
TKE,Tenakee Seaplane Base
TKL,Taku Lodge Seaplane Base
TLT,Tuluksak Airport
PTA,Port Alsworth Airport
TSG,Tanacross Airport
TWH,Two Harbors Amphibious Terminal
TYE,Tyonek Airport
DBS,Dubois Municipal Airport
UGB,Ugashik Bay Airport
LHU,Havasu Airpark
BNH,Cape Air Seaplanes on Boston Harbor Seaplane Base
XWA,Williston Basin International Airport
RTL,Spirit Lake Municipal Airport
BPA,Grumman Bethpage Airport
GMV,Monument Valley Airport
FBS,Friday Harbor Seaplane Base
RSJ,Rosario Seaplane Base
LKE,Kenmore Air Harbor Seaplane Base
RCE,Roche Harbor Airport
WSX,Westsound/Wsx Seaplane Base
WBB,Stebbins Airport
WEA,Parker County Airport
JBK,Berkeley Municipal Heliport
DTR,Decatur Shores Airport
WSB,Steamboat Bay Seaplane Base
UGI,San Juan /Uganik/ Seaplane Base
WSM,Wiseman Airport
GWV,Glendale Fokker Field
MPB,Miami Seaplane Base
UKN,Waukon Municipal Airport
KKI,Akiachak Airport
BCC,Bear Creek 3 Airport
JBT,Bethel Seaplane Base
CZP,Cape Pole Seaplane Base
KBW,Chignik Bay Seaplane Base
KBC,Birch Creek Airport
CZC,Copper Center 2 Airport
ZNC,Nyac Airport
